c5,c119,c119_coref,c119_ner,c119_pos,c119_lemmatized,c119_dependency,c119_sentiment,corefs
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","[FLAT NOSE STRUT: [FLAT NOSE STRUT, IT]]",[],"[('FLAT', 'ADJ'), ('NOSE', 'NOUN'), ('STRUT', 'PROPN'), ('FAILED', 'VERB'), ('TO', 'PART'), ('EXTEND', 'VERB'), ('BEFORE', 'ADP'), ('RETRACTION', 'NOUN'), ('.', 'PUNCT'), ('IT', 'PRON'), ('CAUGHT', 'VERB'), ('ON', 'ADP'), ('AIRPLANE', 'NOUN'), ('STRUCTURE', 'PROPN'), (',', 'PUNCT'), ('BROKE', 'VERB'), ('THE', 'DET'), ('BELLCRANK', 'PROPN'), ('.', 'PUNCT'), ('COLLAPSED', 'VERB')]","['flat', 'nose', 'STRUT', 'fail', 'to', 'extend', 'before', 'retraction', '.', 'it', 'catch', 'on', 'airplane', 'STRUCTURE', ',', 'break', 'the', 'BELLCRANK', '.', 'collapse']","[('FLAT', 'compound', 'STRUT'), ('NOSE', 'compound', 'STRUT'), ('STRUT', 'nsubj', 'FAILED'), ('FAILED', 'ROOT', 'FAILED'), ('TO', 'aux', 'EXTEND'), ('EXTEND', 'xcomp', 'FAILED'), ('BEFORE', 'prep', 'EXTEND'), ('RETRACTION', 'pobj', 'BEFORE'), ('.', 'punct', 'FAILED'), ('IT', 'nsubj', 'CAUGHT'), ('CAUGHT', 'ROOT', 'CAUGHT'), ('ON', 'compound', 'STRUCTURE'), ('AIRPLANE', 'compound', 'STRUCTURE'), ('STRUCTURE', 'dobj', 'CAUGHT'), (',', 'punct', 'BROKE'), ('BROKE', 'conj', 'CAUGHT'), ('THE', 'det', 'BELLCRANK'), ('BELLCRANK', 'dobj', 'BROKE'), ('.', 'punct', 'CAUGHT'), ('COLLAPSED', 'ROOT', 'COLLAPSED')]",-0.2625,"[[[0, 2], [9, 9]]]"
19810203002549A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT CRASHED WHEN PILOT ATTEMPTED EMERGENCY LANDING. FUEL CONTAMINATION.     ,[],[],"[('ENGINE', 'NOUN'), ('STOPPED', 'VERB'), ('ON', 'PROPN'), ('FINAL', 'PROPN'), ('APPROACH', 'NOUN'), ('.', 'PUNCT'), ('AIRCRAFT', 'NOUN'), ('CRASHED', 'VERB'), ('WHEN', 'ADV'), ('PILOT', 'NOUN'), ('ATTEMPTED', 'PROPN'), ('EMERGENCY', 'NOUN'), ('LANDING', 'NOUN'), ('.', 'PUNCT'), ('FUEL', 'NOUN'), ('CONTAMINATION', 'NOUN'), ('.', 'PUNCT'), ('    ', 'SPACE')]","['engine', 'stop', 'ON', 'FINAL', 'approach', '.', 'AIRCRAFT', 'crash', 'when', 'pilot', 'ATTEMPTED', 'emergency', 'landing', '.', 'fuel', 'contamination', '.', '    ']","[('ENGINE', 'nsubj', 'STOPPED'), ('STOPPED', 'ROOT', 'STOPPED'), ('ON', 'prep', 'STOPPED'), ('FINAL', 'compound', 'APPROACH'), ('APPROACH', 'pobj', 'ON'), ('.', 'punct', 'STOPPED'), ('AIRCRAFT', 'nsubj', 'CRASHED'), ('CRASHED', 'ROOT', 'CRASHED'), ('WHEN', 'advmod', 'ATTEMPTED'), ('PILOT', 'nsubj', 'ATTEMPTED'), ('ATTEMPTED', 'advcl', 'CRASHED'), ('EMERGENCY', 'compound', 'LANDING'), ('LANDING', 'dobj', 'ATTEMPTED'), ('.', 'punct', 'CRASHED'), ('FUEL', 'compound', 'CONTAMINATION'), ('CONTAMINATION', 'ROOT', 'CONTAMINATION'), ('.', 'punct', 'CONTAMINATION'), ('    ', '', '.')]",0.0,[]
19810111000979A,LOST DIRECTIONAL CONTROL ON LANDING. HIT DITCH ON SIDE OF RUNWAY. NO DEFECTS FOUND. PILOT PROPELLER REVERSING ERROR,[],[],"[('LOST', 'VERB'), ('DIRECTIONAL', 'PROPN'), ('CONTROL', 'NOUN'), ('ON', 'ADP'), ('LANDING', 'NOUN'), ('.', 'PUNCT'), ('HIT', 'PROPN'), ('DITCH', 'PROPN'), ('ON', 'ADP'), ('SIDE', 'PROPN'), ('OF', 'ADP'), ('RUNWAY', 'PROPN'), ('.', 'PUNCT'), ('NO', 'DET'), ('DEFECTS', 'PROPN'), ('FOUND', 'VERB'), ('.', 'PUNCT'), ('PILOT', 'NOUN'), ('PROPELLER', 'NOUN'), ('REVERSING', 'NOUN'), ('ERROR', 'NOUN')]","['lose', 'DIRECTIONAL', 'control', 'on', 'landing', '.', 'HIT', 'DITCH', 'on', 'SIDE', 'of', 'RUNWAY', '.', 'no', 'DEFECTS', 'find', '.', 'pilot', 'propeller', 'reversing', 'error']","[('LOST', 'ROOT', 'LOST'), ('DIRECTIONAL', 'compound', 'CONTROL'), ('CONTROL', 'dobj', 'LOST'), ('ON', 'prep', 'CONTROL'), ('LANDING', 'pobj', 'ON'), ('.', 'punct', 'LOST'), ('HIT', 'ROOT', 'HIT'), ('DITCH', 'dobj', 'HIT'), ('ON', 'prep', 'HIT'), ('SIDE', 'pobj', 'ON'), ('OF', 'prep', 'SIDE'), ('RUNWAY', 'pobj', 'OF'), ('.', 'punct', 'HIT'), ('NO', 'det', 'DEFECTS'), ('DEFECTS', 'nsubj', 'FOUND'), ('FOUND', 'ROOT', 'FOUND'), ('.', 'punct', 'FOUND'), ('PILOT', 'compound', 'PROPELLER'), ('PROPELLER', 'nsubj', 'REVERSING'), ('REVERSING', 'compound', 'ERROR'), ('ERROR', 'ROOT', 'ERROR')]",0.0,[]
19801209089649I,ZE NOSE WHEEL STEERING DAMAGED BY A 3 INCH VERTICAL RIDGE IN NEWLY LAID RUNWAY SURFACE. SURFACE NOT COMPLIANCE 139 ,[],"[('ZE NOSE WHEEL STEERING DAMAGED BY', 'PERSON'), ('3 INCH VERTICAL RIDGE', 'QUANTITY'), ('LAID RUNWAY SURFACE', 'LOC'), ('139', 'CARDINAL')]","[('ZE', 'PROPN'), ('NOSE', 'NOUN'), ('WHEEL', 'PROPN'), ('STEERING', 'NOUN'), ('DAMAGED', 'VERB'), ('BY', 'ADP'), ('A', 'DET'), ('3', 'NUM'), ('INCH', 'PROPN'), ('VERTICAL', 'PROPN'), ('RIDGE', 'PROPN'), ('IN', 'ADP'), ('NEWLY', 'ADV'), ('LAID', 'VERB'), ('RUNWAY', 'PROPN'), ('SURFACE', 'PROPN'), ('.', 'PUNCT'), ('SURFACE', 'NOUN'), ('NOT', 'ADV'), ('COMPLIANCE', 'NOUN'), ('139', 'NUM')]","['ZE', 'nose', 'WHEEL', 'steering', 'damage', 'by', 'a', '3', 'INCH', 'VERTICAL', 'RIDGE', 'in', 'newly', 'lay', 'RUNWAY', 'SURFACE', '.', 'surface', 'not', 'compliance', '139']","[('ZE', 'compound', 'STEERING'), ('NOSE', 'compound', 'STEERING'), ('WHEEL', 'compound', 'STEERING'), ('STEERING', 'ROOT', 'STEERING'), ('DAMAGED', 'acl', 'STEERING'), ('BY', 'agent', 'DAMAGED'), ('A', 'det', 'RIDGE'), ('3', 'nummod', 'INCH'), ('INCH', 'compound', 'RIDGE'), ('VERTICAL', 'compound', 'RIDGE'), ('RIDGE', 'ROOT', 'RIDGE'), ('IN', 'prep', 'RIDGE'), ('NEWLY', 'advmod', 'LAID'), ('LAID', 'amod', 'SURFACE'), ('RUNWAY', 'compound', 'SURFACE'), ('SURFACE', 'pobj', 'IN'), ('.', 'punct', 'RIDGE'), ('SURFACE', 'nsubj', 'COMPLIANCE'), ('NOT', 'neg', 'COMPLIANCE'), ('COMPLIANCE', 'ROOT', 'COMPLIANCE'), ('139', 'dobj', 'COMPLIANCE')]",0.1363636363636363,[]
19810126001829A,ENGINES QUIT ON TAKEOFF. CRASH-LANDED. AIRPLANE HAD BEEN SERVICED WITH JET A FUEL. PILOT FAILED TO  CHECK FUEL.    ,[],[],"[('ENGINES', 'NOUN'), ('QUIT', 'VERB'), ('ON', 'ADP'), ('TAKEOFF', 'PROPN'), ('.', 'PUNCT'), ('CRASH', 'NOUN'), ('-', 'PUNCT'), ('LANDED', 'PROPN'), ('.', 'PUNCT'), ('AIRPLANE', 'NOUN'), ('HAD', 'VERB'), ('BEEN', 'VERB'), ('SERVICED', 'VERB'), ('WITH', 'ADP'), ('JET', 'NOUN'), ('A', 'DET'), ('FUEL', 'NOUN'), ('.', 'PUNCT'), ('PILOT', 'NOUN'), ('FAILED', 'VERB'), ('TO', 'PART'), (' ', 'SPACE'), ('CHECK', 'VERB'), ('FUEL', 'NOUN'), ('.', 'PUNCT'), ('   ', 'SPACE')]","['engine', 'quit', 'on', 'TAKEOFF', '.', 'crash', '-', 'LANDED', '.', 'airplane', 'have', 'be', 'service', 'with', 'jet', 'a', 'fuel', '.', 'pilot', 'fail', 'to', ' ', 'check', 'fuel', '.', '   ']","[('ENGINES', 'nsubj', 'QUIT'), ('QUIT', 'ROOT', 'QUIT'), ('ON', 'prep', 'QUIT'), ('TAKEOFF', 'pobj', 'ON'), ('.', 'punct', 'QUIT'), ('CRASH', 'compound', 'LANDED'), ('-', 'punct', 'LANDED'), ('LANDED', 'ROOT', 'LANDED'), ('.', 'punct', 'LANDED'), ('AIRPLANE', 'nsubjpass', 'SERVICED'), ('HAD', 'aux', 'SERVICED'), ('BEEN', 'auxpass', 'SERVICED'), ('SERVICED', 'ROOT', 'SERVICED'), ('WITH', 'prep', 'SERVICED'), ('JET', 'compound', 'A'), ('A', 'compound', 'FUEL'), ('FUEL', 'pobj', 'WITH'), ('.', 'punct', 'SERVICED'), ('PILOT', 'nsubj', 'FAILED'), ('FAILED', 'ROOT', 'FAILED'), ('TO', 'aux', 'CHECK'), (' ', '', 'TO'), ('CHECK', 'xcomp', 'FAILED'), ('FUEL', 'dobj', 'CHECK'), ('.', 'punct', 'FAILED'), ('   ', '', '.')]",-0.5,[]
19810210011689I,NOSE GEAR STRUT WAS COLLAPSED. WHEN GEAR RETRACTED A PIN WAS SHEARED. PRIOR TO LANDING GEAR FELL TO DOWN AND LOCKED,[],[],"[('NOSE', 'PROPN'), ('GEAR', 'NOUN'), ('STRUT', 'PROPN'), ('WAS', 'VERB'), ('COLLAPSED', 'VERB'), ('.', 'PUNCT'), ('WHEN', 'ADV'), ('GEAR', 'PROPN'), ('RETRACTED', 'ADV'), ('A', 'DET'), ('PIN', 'NOUN'), ('WAS', 'VERB'), ('SHEARED', 'PROPN'), ('.', 'PUNCT'), ('PRIOR', 'ADV'), ('TO', 'ADP'), ('LANDING', 'NOUN'), ('GEAR', 'PROPN'), ('FELL', 'VERB'), ('TO', 'ADP'), ('DOWN', 'ADV'), ('AND', 'CCONJ'), ('LOCKED', 'VERB')]","['NOSE', 'gear', 'STRUT', 'be', 'collapse', '.', 'when', 'GEAR', 'retracted', 'a', 'pin', 'be', 'SHEARED', '.', 'prior', 'to', 'landing', 'GEAR', 'fall', 'to', 'down', 'and', 'lock']","[('NOSE', 'compound', 'STRUT'), ('GEAR', 'compound', 'STRUT'), ('STRUT', 'nsubj', 'WAS'), ('WAS', 'ROOT', 'WAS'), ('COLLAPSED', 'acomp', 'WAS'), ('.', 'punct', 'WAS'), ('WHEN', 'advmod', 'GEAR'), ('GEAR', 'ROOT', 'GEAR'), ('RETRACTED', 'advmod', 'GEAR'), ('A', 'det', 'PIN'), ('PIN', 'nsubjpass', 'SHEARED'), ('WAS', 'auxpass', 'SHEARED'), ('SHEARED', 'ROOT', 'SHEARED'), ('.', 'punct', 'SHEARED'), ('PRIOR', 'advmod', 'FELL'), ('TO', 'prep', 'PRIOR'), ('LANDING', 'compound', 'GEAR'), ('GEAR', 'pobj', 'TO'), ('FELL', 'ROOT', 'FELL'), ('TO', 'prep', 'FELL'), ('DOWN', 'pobj', 'TO'), ('AND', 'cc', 'LOCKED'), ('LOCKED', 'ROOT', 'LOCKED')]",-0.0777777777777777,[]
19810213004059A,HAD ELEVATOR TAB TRIMMED NOSE DOWN. PORPOISED ON ATTEMPTED TAKEOFF. COLLAPSED NOSE GEAR.                           ,[],[],"[('HAD', 'VERB'), ('ELEVATOR', 'NOUN'), ('TAB', 'NOUN'), ('TRIMMED', 'PROPN'), ('NOSE', 'NOUN'), ('DOWN', 'PART'), ('.', 'PUNCT'), ('PORPOISED', 'NOUN'), ('ON', 'ADP'), ('ATTEMPTED', 'PROPN'), ('TAKEOFF', 'PROPN'), ('.', 'PUNCT'), ('COLLAPSED', 'VERB'), ('NOSE', 'PROPN'), ('GEAR', 'PROPN'), ('.', 'PUNCT'), ('                          ', 'SPACE')]","['have', 'elevator', 'tab', 'TRIMMED', 'nose', 'down', '.', 'PORPOISED', 'on', 'ATTEMPTED', 'TAKEOFF', '.', 'collapse', 'NOSE', 'GEAR', '.', '                          ']","[('HAD', 'ROOT', 'HAD'), ('ELEVATOR', 'compound', 'TAB'), ('TAB', 'nsubj', 'TRIMMED'), ('TRIMMED', 'ROOT', 'TRIMMED'), ('NOSE', 'dobj', 'TRIMMED'), ('DOWN', 'advmod', 'TRIMMED'), ('.', 'punct', 'TRIMMED'), ('PORPOISED', 'ROOT', 'PORPOISED'), ('ON', 'prep', 'PORPOISED'), ('ATTEMPTED', 'amod', 'TAKEOFF'), ('TAKEOFF', 'pobj', 'ON'), ('.', 'punct', 'PORPOISED'), ('COLLAPSED', 'ROOT', 'COLLAPSED'), ('NOSE', 'compound', 'GEAR'), ('GEAR', 'dobj', 'COLLAPSED'), ('.', 'punct', 'COLLAPSED'), ('                          ', '', '.')]",-0.1555555555555555,[]
19810121002899A,"ICED-UP, NEAR GROSS. CIRCLED TO LAND, FAILED TO SET PROPS OR USE DEICE SYSTEMS. GROUND IMPACT SHORT OF RUNWAY.     ",[],"[('USE DEICE SYSTEMS', 'ORG')]","[('ICED', 'NOUN'), ('-', 'PUNCT'), ('UP', 'NOUN'), (',', 'PUNCT'), ('NEAR', 'ADP'), ('GROSS', 'ADJ'), ('.', 'PUNCT'), ('CIRCLED', 'VERB'), ('TO', 'ADP'), ('LAND', 'PROPN'), (',', 'PUNCT'), ('FAILED', 'VERB'), ('TO', 'PART'), ('SET', 'VERB'), ('PROPS', 'NOUN'), ('OR', 'CCONJ'), ('USE', 'VERB'), ('DEICE', 'PROPN'), ('SYSTEMS', 'PROPN'), ('.', 'PUNCT'), ('GROUND', 'NOUN'), ('IMPACT', 'NOUN'), ('SHORT', 'PROPN'), ('OF', 'ADP'), ('RUNWAY', 'PROPN'), ('.', 'PUNCT'), ('    ', 'SPACE')]","['iced', '-', 'up', ',', 'near', 'gross', '.', 'circle', 'to', 'LAND', ',', 'fail', 'to', 'set', 'prop', 'or', 'use', 'DEICE', 'SYSTEMS', '.', 'ground', 'impact', 'SHORT', 'of', 'RUNWAY', '.', '    ']","[('ICED', 'compound', 'UP'), ('-', 'punct', 'UP'), ('UP', 'ROOT', 'UP'), (',', 'punct', 'UP'), ('NEAR', 'prep', 'UP'), ('GROSS', 'amod', 'NEAR'), ('.', 'punct', 'UP'), ('CIRCLED', 'ROOT', 'CIRCLED'), ('TO', 'prep', 'CIRCLED'), ('LAND', 'pobj', 'TO'), (',', 'punct', 'CIRCLED'), ('FAILED', 'conj', 'CIRCLED'), ('TO', 'aux', 'SET'), ('SET', 'xcomp', 'FAILED'), ('PROPS', 'dobj', 'SET'), ('OR', 'cc', 'SET'), ('USE', 'conj', 'SET'), ('DEICE', 'compound', 'SYSTEMS'), ('SYSTEMS', 'dobj', 'USE'), ('.', 'punct', 'CIRCLED'), ('GROUND', 'ROOT', 'GROUND'), ('IMPACT', 'compound', 'SHORT'), ('SHORT', 'dobj', 'GROUND'), ('OF', 'prep', 'SHORT'), ('RUNWAY', 'pobj', 'OF'), ('.', 'punct', 'GROUND'), ('    ', '', '.')]",-0.1,[]
19810109007849I,CREW MADE PRECATIONARY LANDING AFTER DETECTING FUEL FUMES IN CABIN. AFT FUEL CAP FOUND IMPROPERLY INSTALLED.       ,[],"[('CABIN', 'FAC'), ('AFT FUEL CAP', 'PRODUCT')]","[('CREW', 'NOUN'), ('MADE', 'VERB'), ('PRECATIONARY', 'NOUN'), ('LANDING', 'NOUN'), ('AFTER', 'ADP'), ('DETECTING', 'VERB'), ('FUEL', 'NOUN'), ('FUMES', 'NOUN'), ('IN', 'ADP'), ('CABIN', 'PROPN'), ('.', 'PUNCT'), ('AFT', 'PROPN'), ('FUEL', 'PROPN'), ('CAP', 'PROPN'), ('FOUND', 'VERB'), ('IMPROPERLY', 'ADV'), ('INSTALLED', 'VERB'), ('.', 'PUNCT'), ('      ', 'SPACE')]","['crew', 'make', 'precationary', 'landing', 'after', 'detect', 'fuel', 'fume', 'in', 'CABIN', '.', 'AFT', 'FUEL', 'CAP', 'find', 'improperly', 'instal', '.', '      ']","[('CREW', 'nsubj', 'MADE'), ('MADE', 'ROOT', 'MADE'), ('PRECATIONARY', 'compound', 'LANDING'), ('LANDING', 'dobj', 'MADE'), ('AFTER', 'prep', 'MADE'), ('DETECTING', 'pcomp', 'AFTER'), ('FUEL', 'compound', 'FUMES'), ('FUMES', 'dobj', 'DETECTING'), ('IN', 'prep', 'DETECTING'), ('CABIN', 'pobj', 'IN'), ('.', 'punct', 'MADE'), ('AFT', 'compound', 'CAP'), ('FUEL', 'compound', 'CAP'), ('CAP', 'nsubj', 'FOUND'), ('FOUND', 'ROOT', 'FOUND'), ('IMPROPERLY', 'dobj', 'FOUND'), ('INSTALLED', 'xcomp', 'IMPROPERLY'), ('.', 'punct', 'FOUND'), ('      ', '', '.')]",0.0,[]
19801225078089A,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   ,"[TOWBAR: [TOWBAR, TOWBAR]]","[('WHEELS & TOWBAR', 'ORG'), ('PRIOR TO FLIGHT.', 'ORG'), ('TOWBAR', 'ORG')]","[('FORGOT', 'VERB'), ('TO', 'PART'), ('REMOVE', 'VERB'), ('WHEELS', 'PROPN'), ('&', 'CCONJ'), ('TOWBAR', 'PROPN'), ('PRIOR', 'ADV'), ('TO', 'ADP'), ('FLIGHT', 'PROPN'), ('.', 'PUNCT'), ('TOWBAR', 'PROPN'), ('STRUCK', 'VERB'), ('GROUND', 'NOUN'), ('FIRST', 'ADJ'), ('ON', 'PROPN'), ('LANDING', 'NOUN'), ('.', 'PUNCT'), ('HELICOPTER', 'NOUN'), ('ROLLED', 'VERB'), ('OVER', 'ADV'), ('.', 'PUNCT'), ('  ', 'SPACE')]","['forgot', 'to', 'remove', 'WHEELS', '&', 'TOWBAR', 'prior', 'to', 'FLIGHT', '.', 'TOWBAR', 'strike', 'ground', 'first', 'ON', 'landing', '.', 'helicopter', 'roll', 'over', '.', '  ']","[('FORGOT', 'ROOT', 'FORGOT'), ('TO', 'aux', 'REMOVE'), ('REMOVE', 'xcomp', 'FORGOT'), ('WHEELS', 'dobj', 'REMOVE'), ('&', 'cc', 'WHEELS'), ('TOWBAR', 'conj', 'WHEELS'), ('PRIOR', 'advmod', 'REMOVE'), ('TO', 'prep', 'PRIOR'), ('FLIGHT', 'pobj', 'TO'), ('.', 'punct', 'FORGOT'), ('TOWBAR', 'nsubj', 'STRUCK'), ('STRUCK', 'ROOT', 'STRUCK'), ('GROUND', 'dobj', 'STRUCK'), ('FIRST', 'ROOT', 'FIRST'), ('ON', 'prep', 'FIRST'), ('LANDING', 'pobj', 'ON'), ('.', 'punct', 'FIRST'), ('HELICOPTER', 'nsubj', 'ROLLED'), ('ROLLED', 'ROOT', 'ROLLED'), ('OVER', 'prt', 'ROLLED'), ('.', 'punct', 'ROLLED'), ('  ', '', '.')]",0.125,"[[[5, 5], [10, 10]]]"
19801123080039A,"REAR SEAT FELL FORWARD, JAMMED REAR STICK FORWARD. FOUND RESTRAINT FOR SEAT BACK BROKEN.                           ",[],[],"[('REAR', 'PROPN'), ('SEAT', 'PROPN'), ('FELL', 'VERB'), ('FORWARD', 'ADV'), (',', 'PUNCT'), ('JAMMED', 'PROPN'), ('REAR', 'PROPN'), ('STICK', 'PROPN'), ('FORWARD', 'ADV'), ('.', 'PUNCT'), ('FOUND', 'VERB'), ('RESTRAINT', 'NOUN'), ('FOR', 'ADP'), ('SEAT', 'PROPN'), ('BACK', 'ADV'), ('BROKEN', 'ADJ'), ('.', 'PUNCT'), ('                          ', 'SPACE')]","['REAR', 'SEAT', 'fall', 'forward', ',', 'JAMMED', 'REAR', 'STICK', 'forward', '.', 'find', 'restraint', 'for', 'SEAT', 'back', 'broken', '.', '                          ']","[('REAR', 'compound', 'SEAT'), ('SEAT', 'nsubj', 'FELL'), ('FELL', 'ROOT', 'FELL'), ('FORWARD', 'advmod', 'FELL'), (',', 'punct', 'FELL'), ('JAMMED', 'compound', 'STICK'), ('REAR', 'compound', 'STICK'), ('STICK', 'ROOT', 'STICK'), ('FORWARD', 'advmod', 'STICK'), ('.', 'punct', 'STICK'), ('FOUND', 'ROOT', 'FOUND'), ('RESTRAINT', 'dobj', 'FOUND'), ('FOR', 'prep', 'RESTRAINT'), ('SEAT', 'pobj', 'FOR'), ('BACK', 'prep', 'FOUND'), ('BROKEN', 'pobj', 'BACK'), ('.', 'punct', 'FOUND'), ('                          ', '', '.')]",-0.1666666666666666,[]
19810319010689A,ENGINE QUIT DUE TO FUEL EXHAUSTION ON RIGHT TANK. SELECTED LEFT TANK. FAILED TO USE BOOST PUMP. NOSED OVER LANDING.,"[RIGHT TANK: [RIGHT TANK, TANK]]",[],"[('ENGINE', 'NOUN'), ('QUIT', 'VERB'), ('DUE', 'ADJ'), ('TO', 'ADP'), ('FUEL', 'NOUN'), ('EXHAUSTION', 'NOUN'), ('ON', 'PROPN'), ('RIGHT', 'PROPN'), ('TANK', 'PROPN'), ('.', 'PUNCT'), ('SELECTED', 'PROPN'), ('LEFT', 'PROPN'), ('TANK', 'PROPN'), ('.', 'PUNCT'), ('FAILED', 'VERB'), ('TO', 'PART'), ('USE', 'VERB'), ('BOOST', 'PROPN'), ('PUMP', 'NOUN'), ('.', 'PUNCT'), ('NOSED', 'PROPN'), ('OVER', 'ADP'), ('LANDING', 'NOUN'), ('.', 'PUNCT')]","['engine', 'quit', 'due', 'to', 'fuel', 'exhaustion', 'ON', 'RIGHT', 'TANK', '.', 'SELECTED', 'LEFT', 'TANK', '.', 'fail', 'to', 'use', 'BOOST', 'pump', '.', 'NOSED', 'over', 'landing', '.']","[('ENGINE', 'nsubj', 'QUIT'), ('QUIT', 'ROOT', 'QUIT'), ('DUE', 'amod', 'EXHAUSTION'), ('TO', 'prep', 'DUE'), ('FUEL', 'compound', 'EXHAUSTION'), ('EXHAUSTION', 'dobj', 'QUIT'), ('ON', 'prep', 'EXHAUSTION'), ('RIGHT', 'amod', 'TANK'), ('TANK', 'pobj', 'ON'), ('.', 'punct', 'QUIT'), ('SELECTED', 'nsubj', 'LEFT'), ('LEFT', 'ROOT', 'LEFT'), ('TANK', 'dobj', 'LEFT'), ('.', 'punct', 'LEFT'), ('FAILED', 'ROOT', 'FAILED'), ('TO', 'aux', 'USE'), ('USE', 'xcomp', 'FAILED'), ('BOOST', 'compound', 'PUMP'), ('PUMP', 'dobj', 'USE'), ('.', 'punct', 'FAILED'), ('NOSED', 'ROOT', 'NOSED'), ('OVER', 'prep', 'NOSED'), ('LANDING', 'pobj', 'OVER'), ('.', 'punct', 'NOSED')]",-0.0848214285714285,"[[[7, 8], [12, 12]]]"
19810308035069I,DURING LANDING ATC COULD NOT UNDERSTAND PILOT. LATER INVESTIGATION REVEALED AND EXPIRED MEDICAL CERTIFICATE.       ,[],[],"[('DURING', 'ADP'), ('LANDING', 'NOUN'), ('ATC', 'PROPN'), ('COULD', 'VERB'), ('NOT', 'ADV'), ('UNDERSTAND', 'VERB'), ('PILOT', 'PROPN'), ('.', 'PUNCT'), ('LATER', 'ADJ'), ('INVESTIGATION', 'NOUN'), ('REVEALED', 'VERB'), ('AND', 'CCONJ'), ('EXPIRED', 'PROPN'), ('MEDICAL', 'PROPN'), ('CERTIFICATE', 'PROPN'), ('.', 'PUNCT'), ('      ', 'SPACE')]","['during', 'landing', 'ATC', 'COULD', 'not', 'understand', 'PILOT', '.', 'later', 'investigation', 'reveal', 'and', 'EXPIRED', 'MEDICAL', 'CERTIFICATE', '.', '      ']","[('DURING', 'prep', 'UNDERSTAND'), ('LANDING', 'compound', 'ATC'), ('ATC', 'pobj', 'DURING'), ('COULD', 'aux', 'UNDERSTAND'), ('NOT', 'neg', 'UNDERSTAND'), ('UNDERSTAND', 'ROOT', 'UNDERSTAND'), ('PILOT', 'dobj', 'UNDERSTAND'), ('.', 'punct', 'UNDERSTAND'), ('LATER', 'ROOT', 'LATER'), ('INVESTIGATION', 'nsubj', 'REVEALED'), ('REVEALED', 'ROOT', 'REVEALED'), ('AND', 'cc', 'REVEALED'), ('EXPIRED', 'conj', 'REVEALED'), ('MEDICAL', 'compound', 'CERTIFICATE'), ('CERTIFICATE', 'dobj', 'EXPIRED'), ('.', 'punct', 'REVEALED'), ('      ', '', '.')]",0.0,[]
19810315025039I,ENROUTE PILOT SMELLED SMOKE AND SAW FIRE IN AFT PART OF AIRCRAFT. EMERGENCY LANDING. BATTERY BURNED. NO BATTERY LID,[],"[('NO BATTERY LID', 'PRODUCT')]","[('ENROUTE', 'NOUN'), ('PILOT', 'NOUN'), ('SMELLED', 'VERB'), ('SMOKE', 'NOUN'), ('AND', 'CCONJ'), ('SAW', 'VERB'), ('FIRE', 'PROPN'), ('IN', 'ADP'), ('AFT', 'PROPN'), ('PART', 'NOUN'), ('OF', 'ADP'), ('AIRCRAFT', 'PROPN'), ('.', 'PUNCT'), ('EMERGENCY', 'NOUN'), ('LANDING', 'NOUN'), ('.', 'PUNCT'), ('BATTERY', 'NOUN'), ('BURNED', 'VERB'), ('.', 'PUNCT'), ('NO', 'DET'), ('BATTERY', 'NOUN'), ('LID', 'NOUN')]","['enroute', 'pilot', 'smell', 'smoke', 'and', 'see', 'FIRE', 'in', 'AFT', 'part', 'of', 'AIRCRAFT', '.', 'emergency', 'landing', '.', 'battery', 'burn', '.', 'no', 'battery', 'lid']","[('ENROUTE', 'compound', 'PILOT'), ('PILOT', 'nsubj', 'SMELLED'), ('SMELLED', 'ROOT', 'SMELLED'), ('SMOKE', 'dobj', 'SMELLED'), ('AND', 'cc', 'SMELLED'), ('SAW', 'conj', 'SMELLED'), ('FIRE', 'dobj', 'SAW'), ('IN', 'prep', 'SAW'), ('AFT', 'compound', 'PART'), ('PART', 'pobj', 'IN'), ('OF', 'prep', 'PART'), ('AIRCRAFT', 'pobj', 'OF'), ('.', 'punct', 'SMELLED'), ('EMERGENCY', 'compound', 'LANDING'), ('LANDING', 'ROOT', 'LANDING'), ('.', 'punct', 'LANDING'), ('BATTERY', 'nsubj', 'BURNED'), ('BURNED', 'ROOT', 'BURNED'), ('.', 'punct', 'BURNED'), ('NO', 'det', 'LID'), ('BATTERY', 'compound', 'LID'), ('LID', 'ROOT', 'LID')]",0.0,[]
