,c5_id,c119_input,input,corefs
14,19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁fri', 'day', ',', '▁', 'a', 'pri', 'l', '▁8', ',', '▁2005', ',', '▁at', '▁1914', '▁', 'e', 'd', 't', ',', '▁', 'a', '▁pipe', 'r', '▁pa', '-3', '1-3', '10', ',', '▁', 'n', '63', '70', '3', ',', '▁operated', '▁by', '▁the', '▁pilot', '▁', '^', 'pri', 'vac', 'y', '▁data', '▁', 'o', 'mitted', '</s>']",[]
15,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'jun', 'e', '▁27', ',', '▁2005', '▁at', '▁approximately', '▁18', '20', '▁', 'hrs', '▁', 'p', 'd', 't', ',', '▁', 'a', '▁', 'b', '-7', '27', ',', '▁', 'n', '3', '57', 'k', 'p', ',', '▁operated', '▁by', '▁capital', '▁air', '▁cargo', '▁(', '▁', 'c', '8', 'g', 'a', ')', ',', '▁was', '▁pu', '</s>']",[]
16,19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁21', ',', '▁2006', '▁aircraft', '▁', 'n', '2', '37', 'j', 'h', '▁', 's', '/', 'n', '2', '37', '▁', 'departed', '▁co', 've', 'y', '▁trials', '▁(', '▁', 'x', '09', ')', '▁at', '▁about', '▁17', '30', '▁', 'c', 'd', 't', '.', '▁the', '▁pilot', '▁stated', '▁', 'th', '</s>']",[]
17,19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'ju', 'ly', '▁27', ',', '▁2007', '▁at', '▁fr', 'e', 's', 'n', 'o', '▁', 'chan', 'dler', '▁executive', '▁(', '▁', 'f', 'ch', ')', '▁', 'n', '64', '57', 'b', '▁', 'a', '▁ces', 's', 'n', 'a', '▁', 't', '210', 'm', '▁on', '▁an', '▁', 'if', 'r', '▁flight', '▁plan', '▁', 'departed', '▁for', '</s>']",[]
18,19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁19', ',', '▁2007', '▁at', '▁approximately', '▁14', ':', '00', '▁', 'c', 's', 't', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁', '152', ',', '▁', 'n', '48', '86', '2', '▁', 'departed', '▁runway', '▁13', '▁at', '▁', 'john', '▁', 'l', '.', '▁bake', 'r', '▁fie', 'l', '</s>']",[]
19,19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁04', '/12', '/', '95', '▁', 'a', '▁', 'd', 'c', '-6', '-', 'b', ',', '▁', 'n', '43', '90', 'f', '▁operated', '▁by', '▁ever', 't', 's', '▁air', '▁fuel', '▁in', 'c', '.', ',', '▁', 'departed', '▁the', '▁ramp', '▁at', '▁fair', 'bank', 's', '▁in', 't', '▁', ""'"", '▁', 'l', '▁', 'a', 'f', 't', 'e', '</s>']",[]
20,19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'ju', 'ly', '▁16', ',', '▁2003', ',', '▁', 'n', '16', '74', 't', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁4', '14', ',', '▁pilot', 'e', 'd', '▁by', '▁be', 'n', 'ja', 'min', '▁bell', '▁was', '▁taxi', 'ing', '▁for', '▁take', '-', 'off', '▁at', '▁', 'han', 'over', '▁county', '▁', 'a', '</s>']",[]
21,19770530012939A,WRONG PROP INSTALLED                                                                                               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁', 'n', '38', '89', 'b', ',', '▁', 'a', '▁be', '-', '35', '-', 'f', '35', ',', '▁co', '-', 'owned', '▁and', '▁registered', '▁to', '▁', 'h', '.', '▁', 'n', '.', '▁and', '▁patri', 'cia', '▁', 'm', 'c', 'cut', 'chen', ',', '▁was', '▁', 'based', '▁at', '▁the', '▁still', 'water', ',', '▁', 'ok', '</s>']",[]
22,19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁the', '▁pilot', '▁', '^', 'pri', 'vac', 'y', '▁', 'd', '^', '▁stated', '▁that', '▁', 'he', '▁and', '▁', '^', 'pri', 'vac', 'y', '▁dat', '^', '▁fle', 'w', '▁down', '▁to', '▁', 'k', 'o', 'y', 'uk', 'uk', '▁to', '▁work', '▁on', '▁his', '▁bell', 'an', 'ca', '▁', 's', 'cou', 't', '▁8', 'g', 'c', '</s>']",[]
23,19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'ju', 'ly', '▁13', ',', '▁2005', ',', '▁at', '▁15', '35', '▁', 'm', 's', 't', ',', '▁an', '▁', 'ray', 'the', 'on', '▁aircraft', '▁co', '.', '▁', 'b', '36', 't', 'c', '▁(', '▁bon', 'anz', 'a', ')', ',', '▁', 'n', '30', '42', 'v', '▁registered', '▁to', '▁have', 'n', 's', '▁leasing', '</s>']",[]
24,19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁after', '▁touch', '▁and', '▁go', '▁', 'a', 'c', 'f', 't', '▁', 'climbed', '▁to', '▁2', '99', '▁', 'f', 't', ',', '▁engine', '▁', 's', 'put', 'tered', '▁and', '▁quit', ',', '▁', 'a', 'c', 'f', 't', '▁', 'landed', '▁in', '▁', 'a', '▁bean', '▁field', '.', '▁(', '▁', '.', '4', ')', '▁in', '▁the', '▁', 'w', 'r', 'it', '</s>']",[]
25,19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-5', ')', '▁', 'if', 'r', '▁flight', ',', '▁', 're', 'x', 'burg', ',', '▁', 'i', 'd', 'a', 'h', 'o', '▁to', '▁gun', 'n', 'i', 'son', ',', '▁co', '.', ',', '▁pilot', '▁requested', '▁di', 'version', '▁to', '▁', 'i', 'd', 'a', 'h', 'o', '▁falls', '▁(', '▁', 'i', 'd', 'a', ')', '▁after', '▁having', '▁smoke', '</s>']",[]
26,19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁on', '▁', 'ju', 'ly', '▁21', ',', '▁1999', ',', '▁', 'a', '▁de', 'hav', 'ill', 'and', '▁', 'd', 'h', 'c', '-8', '-', '102', ',', '▁', 's', '/', 'n', '▁30', '8', ',', '▁', 'n', '8', '10', 'ex', ',', '▁operated', '▁by', '▁alle', 'g', 'hen', 'y', '▁airlines', '▁in', 'c', '.', ',', '▁accomplished', '▁', 'a', '▁pre', '</s>']",[]
27,19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁an', '▁', 'if', 'r', '▁flight', '▁plan', '▁from', '▁chic', 'a', 'go', ',', '▁', 'il', '▁to', '▁', 's', 'an', '▁', 'a', 'nton', 'i', 'o', ',', '▁', 't', 'x', '▁', 'n', '89', '8', 'c', 'b', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁5', '60', ',', '▁experienced', '▁', 'a', '▁rapid', '▁loss', '</s>']",[]
28,19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁7', '/', '30', '/', '00', '▁', 'a', '▁ces', 's', 'n', 'a', '▁150', 'f', '▁operated', '▁by', '▁', '^', 'pri', 'vac', 'y', '▁data', '▁', 'o', 'mitted', '^', '▁', 'departed', '▁', 'w', 'il', 'road', 's', '▁garden', '▁airport', '▁(', '▁9', 'k', '1', ')', '▁at', '▁dodge', '▁', 'c', 'i', '</s>']",[]
29,19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁3', ',', '▁2001', ',', '▁about', '▁1', '300', 'l', ',', '▁', 'n', '3', '88', 'b', 'a', ',', '▁', 'a', '▁let', '-', 'l', '33', '▁solo', '▁glide', 'r', '▁was', '▁spinning', '▁down', '▁from', '▁4', '000', '▁', ""'"", '▁when', '▁', 'a', '▁small', '▁bat', 't', '</s>']",[]
30,19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁date', ':', '▁', 'jun', 'e', '▁3', ',', '▁2003', '▁log', 'an', '▁international', '▁airport', '▁bo', 'ston', '▁ma', '▁(', '▁bo', 's', ')', '▁12', ':', '35', '▁', 'e', 'd', 't', '▁as', 'i', ':', '▁don', 'al', 'd', '▁', 'e', '.', '▁small', '▁', 'n', '45', '2', 'f', 'j', '▁do', 'r', 'nier', '</s>']",[]
31,19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁sept', 'ember', '▁1', ',', '▁2003', ',', '▁at', '▁approximately', '▁11', '30', '▁(', '▁', 'l', 'c', 'l', ')', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁model', '▁', '172', '-', 'f', '▁', 'n', '85', '78', 'u', '▁crashed', '▁on', '▁', 'a', '▁field', '▁near', '▁the', '▁', 'f', 'a', 'j', '</s>']",[]
32,19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁american', '▁airlines', '▁flight', '▁14', '53', ',', '▁aircraft', '▁', 'n', '4', '97', 'a', 'a', ',', '▁an', '▁', 'm', 'd', '-', '82', ',', '▁', 'landed', '▁at', '▁', 'm', 'c', 'i', '▁from', '▁', 'l', 'g', 'a', '.', '▁while', '▁taxi', 'ing', ',', '▁due', '▁to', '▁', 'a', '▁', 'he', 'a', '</s>']",[]
33,19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁6', ',', '▁2004', ',', '▁at', '▁15', '15', '▁local', '▁time', '▁(', '▁federal', '▁states', '▁of', '▁micro', 'nes', 'i', 'a', ')', ',', '▁', 'a', '▁single', '-', 'engine', '▁hug', 'he', 's', '▁3', '69', 'h', 's', ',', '▁', 'n', '74', 'am', ',', '▁', 'r', '</s>']",[]
34,19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁the', '▁flight', '▁', 'departed', '▁add', 'i', 'son', ',', '▁', 'tex', 'a', 's', '▁on', '▁march', '▁27', ',', '▁2007', '▁for', '▁', 'a', '▁business', '▁trip', '▁to', '▁', 'i', 'd', 'a', 'h', 'o', '▁falls', ',', '▁', 'i', 'd', 'a', 'h', 'o', '▁under', '▁14', '▁', 'c', 'f', 'r', '▁', 'p', '</s>']",[]
35,19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁', '3/', '2/', '07', '▁@', '▁18', '30', '▁est', ',', '▁', 'n', '68', '2', 'r', 'a', ',', '▁ces', 's', 'n', 'a', '▁150', ',', '▁left', '▁', 'x', '51', ',', '▁home', 'stead', '▁airport', ',', '▁lost', '▁power', '▁on', '▁return', '▁toward', '▁', 't', 'm', 'b', '.', '▁', 'unable', '▁', 't', '</s>']",[]
36,19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁', '05', '-12', '-', '96', ',', '▁while', '▁', 'en', 'route', '▁at', '▁3', '3,000', '▁feet', '▁from', '▁chic', 'a', 'go', ',', '▁', 'il', '▁(', '▁', 'm', 'd', 'w', ')', '▁to', '▁', 's', 't', '.', '▁pe', 'ter', 'sburg', ',', '▁', 'f', 'l', '▁(', '▁pie', ')', ',', '▁american', '▁', 't', '</s>']",[]
37,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁au', 'g', '.', '▁2', ',', '▁1999', ',', '▁', 'n', '71', '1', 'b', 'n', ',', '▁', 'a', '▁be', '-', '90', ',', '▁', 'departed', '▁from', '▁west', '▁palm', '▁beach', '▁in', 't', '▁', ""'"", '▁', 'l', '▁with', '▁pilot', '▁du', 'an', 'e', '▁', 'cri', 'th', 'field', ',', '▁certificat', '</s>']",[]
38,19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁16', ',', '▁1996', ',', '▁', 'm', 'r', '.', '▁car', 'l', '▁', 'n', '.', '▁le', 'w', 'is', ',', '▁pilot', '-', 'in', '-', 'command', '▁of', '▁', 'm', 'ooney', ',', '▁', 'n', '92', '66', 'v', ',', '▁took', '▁off', '▁from', '▁mont', 'go', 'mer', 'y', '▁air', '</s>']",[]
39,19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 't', 'u', 'e', 's', 'day', ',', '▁', 'nov', 'ember', '▁9', ',', '▁1999', '▁at', '▁1500', '▁hours', '▁local', ',', '▁pilot', '▁', 't', '.', '▁', 'o', ""'"", 'con', 'nell', '▁attempted', '▁', 'a', '▁take', '-', 'off', '▁from', '▁can', 'and', 'a', 'i', 'gu', 'a', '▁', 'a', 'i', '</s>']",[]
40,19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-5', ')', '▁on', '▁', 'jan', 'u', 'ary', '▁27', 'th', '▁at', '▁10', ':', '27', 'pm', '▁aircraft', '▁', 'n', '19', '59', 'f', '▁', 'a', '▁ce', '-', '172', 'n', '▁operated', '▁by', '▁', 'e', 'a', 'gle', '▁aviation', '▁in', 'c', '.', '▁and', '▁pilot', 'e', 'd', '▁by', '▁fr', 'anci', 's', '▁', 'h', '.', '</s>']",[]
